„Ins Hintertreffen geraten“; („Ins Hintertreffen geraten = in einen Wettbewerb oder eine ungünstige Situation kommen);Wenn man sich bei der Schlachtaufstellung im Heer während des Kampfes vom Feind von vorne nach hinten drängen ließ, wo es sicherer war, geriet man ins Hintertreffen. Wer ins Hintertreffen geriet und somit in die sichere Zone, war weniger angesehen.;;;;;;;;;;;;;;;;;;;;;;;;;
„Iss mal schön deinen Teller leer, dann gibt es morgen schönes Wetter“?;Die Redensart geht auf ein Missverständnis zurück. Wer des Plattdeutschen nicht mächtig war, hat etwas völlig Falsches verstanden, wenn die Gastgeberin früher vor dem Essen dazu aufgefordert hat, alles gut aufzuessen. „Dann gibt es morgen was ‚goods wedder’“, das bedeutet: dann gibt es morgen wieder etwas Gutes! Das hat man natürlich gerne in „gutes Wetter“ umgedeutet und ist der Bitte schnell gefolgt.;;;;;;;;;;;;;;;;;;;;;;;;;;
„Jemandem die volle Breitseite verpassen“;Stammt aus der Zeit, als die Kanonen an Bord eines Schiffes noch unter Deck aufgestellt waren. Eine Breitseite bezeichnet das gleichzeitige Abfeuern aller Geschütze auf den Gegner.;;;;;;;;;;;;;;;;;;;;;;;;;;
„Jemandem spinnefeind sein“;Nicht wenige Spinnenarten haben kannibalistisch geprägte Neigungen. Die ersten geschlüpften Spinnen fressen die Nachkömmlinge auf.;;;;;;;;;;;;;;;;;;;;;;;;;;
„Jemanden alles aus der Nase ziehen müssen“ –;Aus dem Mittelalter: Man glaubte, dass Schwermut durch Würmer im Gehirn verursacht wird. Quacksalber sollten diese dann mühevoll durch die Nase herausziehen.;;;;;;;;;;;;;;;;;;;;;;;;;;
„Jemanden auf dem Kieker haben“;(„Jemanden auf den Kieker haben“ = Jemanden misstrauisch beobachten);Früher hieß das Fernrohr „Kieker“. Hat man jemand mit dem Fernrohr beobachtet, hatte man ihn auf dem Kieker.;;;;;;;;;;;;;;;;;;;;;;;;;
„Kein Blatt vor den Mund nehmen“;(„Kein Blatt vor den Mund nehmen“ = offen seine Meinung sagen);Die Redewendung geht auf einen alten Brauch zurück. Wenn die Leute früher über Gott und die Welt reden (und lästern) wollten, nahmen sie ein Blatt Papier und hoben es wie eine Maske vor ihren Mund. Sie versteckten sich so hinter der „Maske“, kamen sich sicherer vor und niemand konnte sie sprechen sehen. Wer offen seine Meinung sagte, nahm kein Blatt vor den Mund.;;;;;;;;;;;;;;;;;;;;;;;;;
„Mit etwas zu Rande kommen“ -;"Wenn man mit dem Boot den Uferrand erreicht hatte, war die Fahrt erfolgreich beendet; man ist zu Rande gekommen.";;;;;;;;;;;;;;;;;;;;;;;;;;
„Mit jemandem durch dick und dünn gehen“;Bezog sich auf dicht und dünn bewaldetes Gelände. Bedeutet so viel wie, auch in der Gefahr zu einem Menschen halten, denn im Buschwerk lauerten früher oft die Strauchdiebe. ;;;;;;;;;;;;;;;;;;;;;;;;;;
„Nach Strich und Faden“;(„nach Strich und Faden (lügen oder betrügen)“ = gründlich, gehörig (lügen oder betrügen));„Nach Strich und Faden“ kommt aus dem Weberhandwerk. Dort gibt es eine Webart, die „Strich“ heißt. Bei dieser muss man genau schauen, ob alles in Ordnung ist und keine Stelle im Faden gerissen ist. Es muss also genau und gründlich bei der Webart „Strich“ der Faden kontrolliert werden. Daher kommt es, wenn man jemanden z. B. gründlich belügt, ihn „nach Strich und Faden“ belügt.;;;;;;;;;;;;;;;;;;;;;;;;;
„Nach Strich und Faden“ – z.B. lügen oder betrügen: Woher kommt diese Redensart?;Mit „Strich“ wurde früher eine bestimmte Webart bezeichnet. Nach der Fertigstellung wurde gründlich kontrolliert ob der Strich (also die Webart) in Ordnung war und ob der Faden an keiner Stelle gerissen war. „Nach Strich und Faden“ bedeutet seitdem gründlich.;;;;;;;;;;;;;;;;;;;;;;;;;;
„Nicht lange fackeln“;Vom althochdeutschen Wort „facken“ = hin und herbewegen;;;;;;;;;;;;;;;;;;;;;;;;;;
„Notnagel sein“ – woher kommt diese Redensart?;Bis in die 60er Jahre hatten alle Feuerwehrleute bei Brandeinsätzen einen 10cm langen Eisennagel mit Öse dabei. Konnte ein brennendes Stockwerk nicht mehr auf normalem Weg verlassen werden, war dieser Nagel oft die letzte Rettung für eingeschlossene Menschen. Er wurde dann in der Nähe eines Fensters in die Wand geschlagen und durch die Öse wurde ein Tau gezogen, an dem sich die Leute abseilen konnten. Dieser Nagel war also oft die letzte Hoffnung in der Not und wurde so zur Redensart.;;;;;;;;;;;;;;;;;;;;;;;;;;
„Rin in die Kartoffeln, raus aus die Kartoffeln“;Hat einen militärischen Hintergrund. Früher herrschte bei Manövern oft keine Klarheit, ob Kartoffeläcker von den Soldaten betreten werden durften oder nicht. Während ein Vorgesetzter befahl, den Kartoffelacker in das Manöver einzubeziehen, kam von anderer Stelle oft ein gegenteiliger Befehl. Daher sagt man heute bei sich widersprechenden Anordnungen oder bei Unentschlossenheit: Rin in die Kartoffeln, raus aus die Kartoffeln. ;;;;;;;;;;;;;;;;;;;;;;;;;;
„Schindluder treiben“;Schindluder war früher die Bezeichnung für alte oder kranke Haustiere, die zum Schinder (Abdecker) gebracht wurden. Luder bedeutet noch heute in der Jägersprache „totes Tier, Aas“. Bedeutung: „Jemanden wie ein Stück Tierkadaver behandeln.“ ;;;;;;;;;;;;;;;;;;;;;;;;;;
„Schmiere stehen“;Aus dem Jiddischen. „Schmira“ bedeutet „Wache stehen“.;;;;;;;;;;;;;;;;;;;;;;;;;;
„Sich einen Ast lachen“;Mit Ast ist hier nicht der Zweig des Baumes gemeint, sondern der Buckel eines Menschen. Bei heftigem Lachen wird oft der ganze Mensch so erschüttert, der Kopf so eingezogen, der Körper so gebeugt, dass er wie bucklig erscheint – daher „sich einen Ast lachen“;;;;;;;;;;;;;;;;;;;;;;;;;;
„Spinne am Abend, erquickend und labend“;Die, die am Abend erst spinnen mussten hatten mehr Geld und mussten nicht den ganzen Tag arbeiten.;;;;;;;;;;;;;;;;;;;;;;;;;;
„Spinne am Morgen bringt Kummer und Sorgen“ -;Die, die am Morgen schon Spinnen mussten, waren arm.;;;;;;;;;;;;;;;;;;;;;;;;;;
„Viel Aufhebens machen um etwas“ Was steckt hinter dieser Redewendung?;Mittelalter: Bei Schauturnieren wurden die Waffen auf den Boden gelegt. Die Ritter hoben die Waffen theatralisch, prahlerisch auf.;;;;;;;;;;;;;;;;;;;;;;;;;;
„Von echtem Schrot und Korn sein“;Aus der Münzprägung;„Korn“ = Anteil der Edelmetalle in einer Münze. „Schrot“ = Gesamtgewicht einer Münze. Es war vorgegeben wie viel Korn und Schrot eine Münze haben musste, wenn sie echt war, war sie aus echtem Schrot und Korn.;;;;;;;;;;;;;;;;;;;;;;;;;
„Von einer Sache Wind bekommen“;Aus der Jägersprache: Wenn der Wind sich so drehte, dass das Wild den Jäger riechen konnte, haute es ab, weil es von ihm „Wind bekommen hatte“.;;;;;;;;;;;;;;;;;;;;;;;;;;
Alles in Butter;"Wenn mal wieder doch alles klappt, eine schwierige Situation sich klärt und das Leben sich wieder von der Sonnenseite zeigt, ist ""alles in Butter"". Die Redensart kommt aber nicht daher, dass in so einem Fall alles wie mit Butter geschmiert läuft. Der Ursprung für diese Redensart liegt im Mittelalter. Wenn damals die teuren Gläser aus Venetien über die Alpen zu uns transportiert werden sollten, gingen sie anfangs oft zu Bruch. Bis die Fuhrleute die entscheidende Idee hatten. Sie legten die Gläser in große Fässer und gossen heiße, flüssige Butter dazu. Wurde sie fest, hielt sie die Gläser an Ort und Stelle und dämpfte die Stöße der Kutsche. Selbst wenn ein Fass vom Wagen fiel, zerbrachen die Gläser nicht. ""Alles"" war eben ""in Butter"".  ";;;;;;;;;;;;;;;;;;;;;;;;;;
Das geht auf keine Kuhhaut;Diese Redensart kommt aus dem Mittelalter. Damals glaubten die Menschen, dass der Teufel alle Sünden aufschreibt. Da es damals kein Papier gab, schrieb er sie auf Tier-, vornehmlich Kalbs-, oder aber Kuhhäute – wenn sonst der Platz nicht ausreichte. Wenn ein Mensch nun so viele Sünden begangen hatte, dass es auf keine Kuhhaut ging, dann war er ein echter Schurke.;;;;;;;;;;;;;;;;;;;;;;;;;;
Die Arschkarte ziehen;Es kommt aus der Zeit, als die Fernseher noch Schwarz-Weiß waren. Damit man sehen konnte, was der Schiedsrichter beim Fußball für eine Karte zog, hatte er die Gelbe im Hemd und die Rote in der Hosentasche.;;;;;;;;;;;;;;;;;;;;;;;;;;
Die Kirche im Dorf lassen;Kirche kommt aus dem Griechischen und bedeutet „Gemeinde der Gläubigen“. Immer wenn Kirchenprozessionen so umfangreich waren, dass der Tross der Gläubigen die Dorfgrenze sprengte, versprach man, dass man beim nächsten Mal die Prozession einschränken wird und so die Kirche(ngemeinde) im Dorf bleiben wird. (Bedeutung: nicht übertreiben);;;;;;;;;;;;;;;;;;;;;;;;;;
Dieser Mensch ist mit allen Wassern gewaschen;Dieser Mensch ist nicht etwa mit stillem oder sprudeligen Wasser gewaschen. Mit allen Wassern ist das Wasser der verschiedenen Weltmeere gemeint. Diese haben die Seeleute auf Schiffen überquert. Daher galt früher das Leben eines Seebären als spektakulär. Seine Erfahrungen waren nicht alltäglich. Denn nur wenige konnten früher die Welt bereisen. Die Seefahrer durften immer wieder neue Länder, Kulturen und Schätze sehen. Sie lernten dadurch, sich in einer fremden Welt zu behaupten. Sie waren eben mit allen Wassern gewaschen.;;;;;;;;;;;;;;;;;;;;;;;;;;
Durch die Blume;Diese Redensart stammt aus dem Mittelalter. Damals hatte jede Blume eine bestimmte Bedeutung. Kornblumen standen zum Beispiel für einen Korb, den ein verliebter Ritter durch einen Strauß von seiner Angebeteten bekommen konnte. Rosen waren übrigens ein Symbol für die Liebe.;;;;;;;;;;;;;;;;;;;;;;;;;;
Durch die Lappen gehen?;Die Redensart stammt aus der Jägersprache. Um das Wild am Ausbrechen aus dem Jagdrevier zu hindern, wurden bunte Zeuglappen zwischen den Bäumen aufgehängt, vor denen die Tiere zurückscheuten. Oft genug durchbrachen sie aber in Todesangst die Absperrung und „gingen so durch die Lappen“. Seit dem 18. Jh. wird die Wendung auch auf Menschen angewandt.;;;;;;;;;;;;;;;;;;;;;;;;;;
Ein Ausbund sein von etwas;Stammt aus der Kaufmannssprache: Das beste Stück einer Ware wurde außen an der Verpackung als Muster angebunden.;;;;;;;;;;;;;;;;;;;;;;;;;;
Ein Brett vor dem Kopf haben;Diese Redensart stammt aus der Landwirtschaft. Dort musste man den als dumm und einfältig geltenden Ochsen ein Brett vor den Kopf schnallen, damit sie besser pflügen konnten. Deshalb haben heute Menschen, die sich besonders dumm anstellen, ein Brett vor dem Kopf.;;;;;;;;;;;;;;;;;;;;;;;;;;
Einen guten Schnitt machen;Wenn ein Bauer im Mittelalter einen guten Schnitt (eine gute Ernte) machte, verdiente er mehr auf dem Markt;;;;;;;;;;;;;;;;;;;;;;;;;;
Etwas hängt am seidenen Faden;Aus der germanischen Mythologie: Die Schicksalsgöttinnen spinnen den Schicksalsfaden und lassen ihn durch ihre Hände rinnen, um ihn am Ende abzuschneiden. Von der Stärke des Fadens hängte die Lebensdauer des Menschen ab. War der Faden nur noch so dünn wie ein seidener Faden, war es bald vorbei.;;;;;;;;;;;;;;;;;;;;;;;;;;
Etwas ist „durch die Bank“ lustig, schlecht, spannend, etc.;"Aus der Tischsitte im Mittelalter: Alle, die an einem Tisch saßen wurden (durch die Bank) gleichbehandelt; das heißt es gab bei der Bedienung keine Standesunterschiede.";;;;;;;;;;;;;;;;;;;;;;;;;;
Im Stich lassen;Natürlich aus dem Mittelalter. Wenn ein Ritter beim Kampf, oder auch bei einem Turnier, getroffen – oder gar verletzt – vom Pferd fiel, war es Aufgabe des Knappen, seinen Herrn aus der Gefahrenzone zu ziehen. Gelang das nicht – aus welchem Grund auch immer – blieb der Ritter für einen weiteren „Stich“ liegen, er war „im Stich gelassen“ worden.;;;;;;;;;;;;;;;;;;;;;;;;;;
In der Kreide stehen;"""Ich steh bei Dir in der Kreide"". Wer das sagt, der hat sich bei jemandem Geld geborgt und dieser will es wiederhaben. Das war im Mittelalter schon so wie heute. Damals war die Kreidetafel im Lokal eine Art Pranger für säumige Trinker. Wer gerne über den Durst trank - aber nicht zahlen konnte - dessen Namen und Schulden verewigte der Wirt mit Kreide auf einer Tafel. Das diente auch zur Einsicht für die anderen Gäste. Bis man seine Schulden nicht getilgt hatte, stand man somit in der Kreide.  ";;;;;;;;;;;;;;;;;;;;;;;;;;
Ins Fettnäpfchen treten;Sprachforscher vermuten, dass diese Redensart aus dem Mittelalter stammt. Damals war das Fettnäpfchen das Schuhputzzeug der Leute, das neben dem Ofen stand. Man konnte es sich deshalb leicht mit der Frau des Hauses verderben, wenn man in den Napf trat und den frisch geputzten Boden verschmierte.;;;;;;;;;;;;;;;;;;;;;;;;;;
Jemandem den Laufpass geben;Hat der Laufpass wortwörtlich mit Laufen zu tun? Ein Pass, in den man die Geschwindigkeit des Läufers einträgt? Oder war es ein beliebtes Spiel unter Läufern, diesen Pass während des Laufens zu übergeben? Weit gefehlt! Bis ins 19. Jahrhundert hieß der Laufpass Kündigung. Bekam sie ein Soldat, so musste er sich mit dem Laufpass auf Arbeitssuche machen und von Stelle zu Stelle laufen. Heute bekommt man beruflich zwar keinen Laufpass mehr - sondern die Kündigung - aber die Frauen verteilen ihn mittlerweile ganz gern.  ;;;;;;;;;;;;;;;;;;;;;;;;;;
Jemanden einen Bären aufbinden;Jemandem einen Bären aufbinden – ihn anlügen oder anflunkern. Aber was hat Lügen mit einem Bären zu tun? Die Erklärung kommt aus einer Zeit, in der es in Europa noch Bären gab. Der Bär war der König der Jagd – die gefährlichste Beute. Jeder Jäger wollte ihn erlegen und die Beute nach Hause bringen. Denn die Geschichte vom erlegten Bären brachte dem Jäger maximalen Ruhm und Bewunderung bei seinen Mitmenschen. Dabei haben es viele Jäger mit der Wahrheit wohl nicht immer so genau genommen. Viele übertrieben in ihren Erzählungen, was sie erlegt hatten. In Wirklichkeit war ihre Beute viel kleiner ausgefallen – jedenfalls kein Bär.  ;;;;;;;;;;;;;;;;;;;;;;;;;;
Kommen Hamburger aus Hamburg?;Wiener und Frankfurter sind Würstchen, wie man sie in Frankfurt oder Wien isst. Aber warum heißen Hamburger Hamburger? Viele Amerikaner denken Hamburger kommt von der englischen Bezeichnung für Schinken – ham. Doch weit gefehlt! Hamburger bestehen aus Rinderhack oder Tartar. Und das hieß bei uns früher Hamburger Fleisch. Das Sandwich erhielt seinen deutschen Namen dann doch in den USA – von deutschen Aussiedlern. Die haben Frikadellen in Brot ohne Teller und Besteck verkauft, weil es doch so praktisch ist.  ;;;;;;;;;;;;;;;;;;;;;;;;;;
Mit etwas hinterm Berg halten;Aus dem Militärwesen: Früher versteckten sich Truppenteile hinter Anhöhen (z.B. Bergen), um den Gegner über die ganze Streitmacht im Unklaren zu lassen.;;;;;;;;;;;;;;;;;;;;;;;;;;
"Warum nennt man gepökeltes Schweinefleisch auch ""Eisbein""?";"Das Eisbein ist das Schienbein des Schweines mit ansitzenden Fleischteilen. Aus den gespaltenen Röhrenknochen großer Schlachttiere wurde in Skandinavien (bis zur Neuzeit) Knochenschlittschuhe hergestellt. Die Herkunft ist schwed. isläggor (zu lägg, legg ""Bein, Knochenröhre"") und bedeutet eigentlich ""zum Eislauf geeigneter Knochen"".";;;;;;;;;;;;;;;;;;;;;;;;;;
Warum sagt man, jemand soll „die Klappe halten“?;Die Redewendung geht auf liturgische Rituale katholischer Klöster zurück. Im Chorgestühl hatte jeder Mönch seinen eigenen Sitz. Diese waren mit einer Klappvorrichtung versehen. Da die Mönche während des Gottesdienstes mehrmals aufstehen mussten, wären die Stühle mit einem Knall zurück in ihre Position geschnallt. Daher mussten sie die Klappe festhalten, um keinen Lärm zu machen.;;;;;;;;;;;;;;;;;;;;;;;;;;
Warum spricht man beim Öffnen eines Buches von „aufschlagen“;Früher wurden Bücher, noch bevor sie in Leder gebunden wurden, mit Buchenholzplatten geschützt. Diese Holzdeckel wurden mit einem breiten Metallhaken zusammengehalten. Da Holz bekanntlich „arbeitet“ und sich verzieht, ließ sich der Metallhaken manchmal nicht so ohne weiteres öffnen. Also schlug man auf den Deckel, bis der Haken aufsprang. Daher: Bücher „aufschlagen“ ...;;;;;;;;;;;;;;;;;;;;;;;;;;
Warum spricht man von der so genannten „Affenschande“?;Kommt aus dem Plattdeutschen „Appenschande“ = offene (offensichtliche) Schande.;;;;;;;;;;;;;;;;;;;;;;;;;;
Warum stirbt ein Seemann, wenn man eine Zigarette an einer Kerze anzündet?;"In Norddeutschland gibt es den Spruch: ""Wenn man eine Zigarette an einer Kerze anzündet, stirbt ein Seemann""";"Früher hatten die Seeleute während der kalten Wintertage, an denen Sie der Fischerei oder Seefahrt nicht nachgehen konnten, eine ""Nebenbeschäftigung"". Viele von Ihnen fertigten in Handarbeit Zündhölzer. Zündete man also damals eine Pfeife (oder andere Tabakwaren) an einer Kerze an anstatt ein Streichholz zu benützen, wie es sonst üblich war, so nahm man den Seeleuten quasi die Lebensgrundlage und auf lange Sicht tötete man Sie.";;;;;;;;;;;;;;;;;;;;;;;;;
Warum wünscht man sich „Hals- und Beinbruch“?;Der Wunsch stammt aus dem Hebräischen, heißt eigentlich: „Hatzlachah u Bielracha“ und bedeutet: „Glück und Segen“! Durch das Jiddische gelangte dieser Wunsch in die deutsche Sprache. Dabei wurde der Klang des Hebräischen mit deutschen Wörtern nachgeahmt. Heraus kam: das Gegenteil!;;;;;;;;;;;;;;;;;;;;;;;;;;
"Was bedeutet das ""A und O bei etwa sein"" und woher kommt es?";Das A und O ist das wichtigste an einer Sache, die Grundvoraussetzung. Im griechischen Alphabet war A (Alpha) der erste und O (Omega) der letzte Buchstabe. Daher stammt die Redensart das A und O von etwas sein: Anfang und Ende, alles bei einer Sache sein.;"Die Redensart beruht auf einigen Bibelstellen (Offenbarung 1,8; 21,6 und 22,13) besonders die christliche Kirche bedient sich daher der Zeichen A und O zur symbolischen Umschreibung der Allmacht Gottes";;;;;;;;;;;;;;;;;;;;;;;;;
"Wer waren eigentlich ""Hinz und Kunz“?";die Bezeichnung für die große Menge (der Durchschnittsbevölkerung) stammt aus dem Mittelalter, als Hinz = Heinrich und Kunz = Konrad sehr verbreitete Namen waren. Grund war wahrscheinlich die lange Reihe von Heinrichs und Konrads als Herrscher.;Schon um 1300 ist die Redewendung formelhaft und ab dem 15. Jahrhundert nimmt sie spöttischen Charakter an.;;;;;;;;;;;;;;;;;;;;;;;;;
"Wieso nennt man es ""aufdonnern"" wenn man sich schick macht?";"Der Ausdruck ""sich aufdonnern"" stammt vermutlich aus der Vorstellung von etwas Lautem, Auffälligem oder Übertriebenem. Das Wort ""donnern"" ist ursprünglich eng mit dem Naturphänomen des Donners verbunden, das laut, kräftig und unüberhörbar ist.";"Im übertragenen Sinn hat sich ""donnern"" zu einem Synonym für auffällige, spektakuläre oder sogar übertriebene Erscheinungen entwickelt. ""Sich aufdonnern"" beschreibt daher, dass sich jemand sehr auffällig oder extravagant herausputzt – oft mit einer Mischung aus Bewunderung und leiser Kritik. Die Assoziation mit Lautstärke und Präsenz könnte auch darauf hindeuten, dass jemand, der ""aufgedonnert"" ist, sofort ins Auge sticht, ähnlich wie ein Donnerschlag nicht überhört werden kann.";;;;;;;;;;;;;;;;;;;;;;;;;
„Sich am Riemen reißen“;"""Reißt sich jemand am Riemen"", diszipliniert er sich: Die Redewendung bedeutet, sich zusammenzunehmen, anzustrengen und sich Mühe zu geben. Ursprünglich geht die bildliche Wendung auf das Militär zurück: Saß die Uniform der Soldaten und mit ihr der Gürtel – der ""Riemen"" – beim morgendlichen Appell nicht korrekt, mussten sie sich ""am Riemen reißen"". Sie mussten diesen also in die vorgeschriebene mittige Position bringen.";;;;;;;;;;;;;;;;;;;;;;;;;;
"""Jemandem den Buckel runterrutschen""";Von Rittern, die ihre Feinde am Schild abwehrten. Der Schildbuckel war ein zentraler, oft metallener Vorsprung auf einem Schild, der dazu diente, Schläge, Stöße oder Waffenangriffe abzuwehren und zur Seite abzulenken. Der Feind „rutschte“ dabei sprichwörtlich am Schild ab, weil die Angriffe durch die Form des Buckels unwirksam gemacht wurden.;;;;;;;;;;;;;;;;;;;;;;;;;;
