Die Oasen in der Wüste sind deutlicher Hinweis auf vorhandenes Grundwasser aber woher kommt das Wasser eigentlich?;1. These: Der Nil und die Gebirgsregen des Hoggar, Tibetsi und Ennedi kommen als Quellen nicht in Betracht. Denn der Nil liegt in seinem Flussniveau weiträumig unter dem des Grundwasserspiegels, und die Niederschläge an den Sahara-Gebirgen sind viel zu gering. 2. These Die Annahme des britischen Geologen John Ball, das Grundwasser werde in den regenreichen Gebieten südlich der Sahara gebildet, ströme dann nach Norden und sickere dort in Senkungsgebieten aus, wurde durch Modellrechnungen widerlegt. Antwort: Das Grundwasser in der Sahara ist größtenteils fossilen Ursprungs, wurde also während vergangener Feuchtzeiten angesammelt. Es ist also keine erneuerbare Ressource.
Die Relativitätstheorie stammt gar nicht von Albert Einstein? ;JA - DAS STIMMT! ...laut einem Buch des Physikers Peter Rösch. Die Grundzüge der (speziellen) Relativitätstheorie stammten danach von dem französischen Mathematiker Henri Poincaré, der dies bereits 1904 zu Papier gebracht haben soll.
Diese Stadt ist der Sitz der Verwaltungsbezirke von Stormont, Dundas, und Glengarry, die im Südosten von Ontario, Kanada liegen. Wie heisst diese Stadt, die ihren Namen mit einer Grafschaft in England teilt?;Cornwall, Ontario
Erwärmt Alkohol den Körper?;Nein. Ein heißer Grog an einem kalten Wintertag ist etwas Feines. Vom Magen her breitet sich ein herrliches Wärmegefühl über den ganzen Körper aus. Aber es ist eben nur ein Gefühl. In Wirklichkeit erweitert der Alkohol die Gefäße an der Körperoberfläche, das Blut strömt an die Außenseite und kühlt sich ab. Die Körpertemperatur wird also herabgesetzt. Trinkt man bei großer Kälte Alkohol, kann es sogar zu Erfrierungen kommen, weil die Wärmeabgabe zu groß wird.
"Es heißt doch, „durstig"" sei das einzige Adjektiv, von dem es kein Gegenteil gäbe. Nun ja. Im praktischen Sprachgebrauch gibt es einige, von denen es gewissermaßen nur das Gegenteil gibt! Eine gepflegte Redeweise bezeichnet man nicht als ""flätig"", einige Schimpfwörter aber durchaus als ""unflätig"". Ebenso wird jemand, der schlecht gelaunt und kurz angebunden ist, als ""unwirsch"" bezeichnet. Aber haben Sie schon mal gehört, dass jemand mit guter Laune als ""wirsch"" bezeichnet wird?";"Etymologisch und technisch betrachtet haben beide deiner Ausdrücke Gegenteile. unflätig (Unflat = ekelhafter Schmutz) setzt sich zusammen aus der Vorsilbe ""un"" und dem mittelhochdeutschen Substantiv ""vlat"" = Schönheit, Sauberkeit. ""Unflätig"" bedeutet eigentlich ""unsauber"". Der gegenteilige Sachverhalt zu unflätig wäre also ""sauber""  ""Unwirsch"" ist eine Ableitung von mhd. ""unwirde"" = ""unwert"" (Wert, Würde). Seit dem 19. Jhd wird es in der Bedeutung ""unfreundlich"" gebraucht.  Der gegenteilige Sachverhalt zu unwirsch wäre also ""freundlich""  Sprachgeschichtlich haben also beide Begriffe Gegenteile, die allerdings auf der Strecke geblieben sind. Es gibt allerdings kein Wort für den ""durstig"" entgegengesetzten Zustand."
"Existiert das ""Recht der ersten Nacht"", wie es in Filmen oft dargestellt wird, wirklich oder wurde es nur von der Filmindustrie erfunden?";"Das ""jus primae noctis"" ist leider durchaus an der Tagesordnung gewesen. Sogar die Kirche billigte es als gottgegebenes Adelsrecht. Es gab sogar harte Strafen für Männer, die durch ""vorzeitigen Ehevollzug"" ihrem Herren das Recht streitig machen wollten. In Russland hielt sich dieses Recht bis ins 19. Jahrhundert. In Amerika bestand das Recht (Inoffiziell) bis zum Ende des Bürgerkrieges in den Sklavenhalterstaaten des Südens. Jede schwarze Frau galt als sexuelles Eigentum ihres Herren, unabhängig davon, ob sie verheiratet war oder nicht. "
Gibt es Reiseübelkeit? ;Ja, es stimmt. Das Gehirn muss - z.B. beim Autofahren - in kürzester Zeit viele verschiedene Bewegungsreize verarbeiten. Der Reisende sitzt im fahrenden Auto. Das Gehirn bekommt gemeldet: Du hast eine Ruheposition. Die Augen melden: schnelle Bewegung. Das Innenohr (das Gleichgewichtsorgan) meldet Höhen- und Tiefenreize. Gleichzeitig wirken vielleicht noch eine Kurve und Querbeschleunigung auf es ein. So müssen verschiedene Reize verarbeitet werden, während das Gehirn dem Körper immer noch sagt: Du sitzt ruhig. Klappt diese Koordinierungsaufgabe nicht, entsteht die Reiseübelkeit. 
Gibt es Umlaute im Dänischen, Norwegischen oder Schwedischen?;"Unter ""Umlaut"" versteht man die Veränderung eines Vokals infolge des Einflusses des Vokals (oder eines Halbvokals) der Folgesilbe. Im Schwedischen gibt es die gleichen Umlaute wie bei uns. Im Dänischen und Norwegischen gibt es ja die beliebten Å und Ø, das sollten ebenso Umlaute sein."
Gibt oder gab es in den Niederlanden eine Fenster- oder Gardinensteuer?;"Das niederländische Steuergesetz von 1821 umfasste direkte und indirekte Steuern. Zu den direkten Steuern hörten u.a.: die ""Personalsteuer"" auf der Grundlage von: Mietwert, Türen, Fenstern, Kaminen, Mobiliar, Dienern und Pferden. Für Türen und Fenstern bezahlte man nicht nach Größe der Öffnungen, sondern nach Größe der Gemeinde: f 0,40 (40 Cent) in kleineren Gemeinden oder f 1,10 in größeren. Ab 1896 wurden Türe, Fenster und Kamine nicht mehr besteuert.  Die Geschichte mit der ""Gardinensteuer"" muss wohl aufgrund der einstmals erhobenen ""Fenstersteuer"" entstanden sein. Eine ""Gardinensteuer"" hat es in den Niederlanden jedoch nie gegeben. "
Haben alle Babys blaue Augen? ;Ja, es stimmt! Der vordere Teil der Regenbogenhaut bildet nach der Geburt noch kein Pigment, so dass der hintere Teil durchschimmert und dem Auge einen graubläulichen Aspekt verleiht. Im Laufe des ersten Lebensjahres beginnt die Pigmentproduktion im vorderen Teil des Auges und verleiht dem Auge verschiedene Farben. Wird kein Pigment gebildet, hat ein Mensch blaue Augen. Bei wenig Pigmenten hat er grüne Augen und wenn sehr viel Pigment produziert wird, ist die Iris braun. 
Heißt es der, die oder das Nutella?;"Gute Frage, auch bekannt, als ""Frühstücksparadoxon"". Das hatten wir intern vor einiger Zeit auch schon mal diskutiert und sogar an sogar an Ferrero geschrieben. Es kam ein Brief zurück, der sinngemäß aussagte: NUTELLA ist ein im Warenzeichenregister eingetragenes Phantasiewort, das sich einer genauen femininen, maskulinen oder sächlichen Zuordnung entzieht. Benutzt man das Wort NUTELLA mit einem Zusatzbegriff wie zum Beispiel ""DIE NUTELLA NUSS-NUGAT-CREME"" oder ""DAS NUTELLA-GLAS"" bzw. ""DAS NUTELLA BROT"" dann kann man das Phantasiewort NUTELLA durchaus mit einem bestimmten Artikel verwenden... "
Hilft Spucken in die Taucherbrille gegen Beschlagen? ;Ja, es stimmt! Ursache hierfür ist die warme Luft, die sich zwischen Gesicht und Glas bildet. In der warmen Luft ist viel Feuchtigkeit enthalten. Weil das Glas der Brille kalt ist, kondensiert die Feuchtigkeit an ihm in feinen Tröpfchen. Ein Trick verhindert dies: Wischt man das Innenglas vorher mit Spucke aus, dann perlt die Feuchtigkeit ab. 
Im Winter ist die Erde weiter von der Sonne weg als im Sommer;Falsch. Das Gegenteil ist der Fall. Im Winter erreicht die Erde auf ihrer elliptischen Bahn um das Tagesgestirn sogar eine größere Sonnennähe als im Sommer. Die Entfernung ist zu diesem Zeitpunkt um etwa 2 Millionen Kilometer verringert
Immer wieder hört man, dass auf der Südhalbkugel der Strudel über dem Badewannenabfluss anders herum dreht als auf der Nordhalbkugel.  Stimmt das?;Da streiten sich die Geister. Manche beschwören, diesen Effekt immer wieder zu beobachten. Die Wissenschaft jedoch sagt nein: die Corioliskraft, die diesen Unterschied verursachen soll, ist in der Badezimmerdimension viel zu klein. Andere Einflüsse, wie eine leichte Asymmetrie des Abflusses etwa, sind über tausendmal stärker. 
In der Wüste ertrinken mehr Leute als verdursten! Stimmt das?;"Auch wenn's paradox klingt der Satz stimmt. Es gibt wohl wirklich mehr Todesfälle durch Ertrinken in der Wüste als durch Verdursten. Der Grund dafür ist einfach: die meisten Leute wissen, dass es in der Wüste kein Wasser gibt, daher nehmen sie genug mit wenn sie auf Tour gehen. Allerdings sind die besten Campingplätze (weil sie so schön eben sind) in der Wüste Wadis, also ausgetrocknete Flussbette. Wenn es in den (oft weit entfernten) Bergen aber regnet, fließt das Wasser in die Wadis und schießt mit rasanter Geschwindigkeit durch das Flussbett. Das geht so schnell, dass meist keine Zeit zum Abhauen mehr bleibt. Ein ähnliches Phänomen ist, das die meisten Todesfälle durch Tiereinwirkung in Afrika nicht durch ""richtige Raubtiere"", sondern durch Nilpferde verursacht werden. Die ulkigen Dickhäuter können doch keinem was tun... "
In einem Lokal wird ein Flasche Rot- bzw. Weißwein bestellt. der Ober reicht dem Gast in beiden Fällen den Korken!  Meine Frage ist :  Riecht man als Gast nur am Rotweinkorken, oder ebenso am Weißwein Korken ?;"Den Korken beschnüffelt man nicht um die Qualität des Weines, sondern die des Korkens festzustellen. Wenn der Korken schadhaft ist, riecht er muffig, und die Gefahr ist groß, dass der Wein etwas von dem Korkgeschmack abbekommen hat. Man macht dies bei Rot- und Weißwein. Aber nur bei echten Korken, nicht an Plastikverschlüssen schnüffeln, gell ;-) "
In einer Handvoll guten Boden leben mehr Organismen als Menschen auf der Erde.;WAHR
In welchem Jahr und zwischen welchen 2 Ländern führte ein Fußballspiel zu einem Krieg der über 1000 Menschenleben kostete?;Ein WM-Qualifikationsspiel war 1970 der Anlass für einen Krieg zwischen Honduras und El Salvador (14.7. - 18.7.).
Ist der MI6 dasgleiche wie der Secret Service? Was bedeutet eigentlich die 6? In Deutschland gibt's es dann zwei Nachrichtendienste: den MAD und den BND? ;"Der Secret Intelligence Service (Abteilung Military Intelligence 6(MI6)) wurde 1909 gegründet, der erste Chef Sir Mansfield Cummings unterzeichnete übrigens immer mit ""C"" alle seine Nachfolger haben das beibehalten. Die 6 ist meines Wissens die Nummer der ""Foreign Section of the Secret Service Bureau"" also des Auslandsgeheimdienstes.  Adresse: 85 Albert Embankment, Vauxhall Cross in London.  Mit ""Secret Service"" wird allerdings auch oft der amerikanische Geheimdienst bezeichnet. Der CIA ist die übergeordnete Behörde der verschiedenen militärischen, zivilen etc. Geheimdienste und koordiniert deren Arbeit.  Der Secret Service wurde 1865 von US-Präsident Lincoln ins Leben gerufen. Er sollte die Herstellung von Falschgeld bekämpfen. Am Abend des Tages, als er den Secret Service gründete, wurde Lincoln als erster Präsident ermordet. 36 Jahre (und 2 ermordete Präsidenten) später wurde dem Secret Service auch der Schutz des Präsidenten und seiner Familie übertragen. Heute wird auch der Vizepräsident, die Präsidentschaftskandidaten sowie Staatsgäste etc. vom Secret Service beschützt. Er untersteht dem US-Finanzministerium (Department of Treasury). Es gibt sogar drei deutsche Go-home-Services: MAD: militär. Geheimdienst zur Abwehr von Spionage, Sabotage und Zersetzung in der Bundeswehr. Zentrale ist das Amt für Sicherheit der Bundeswehr in Köln. BND: unmittelbar dem Bundeskanzleramt unterstehender Geheimdienst zur Beschaffung von Nachrichten aus dem Ausland. Sitz: Pullach bei München.  Bundesamt für Verfassungsschutz: überwacht die Gesamtheit der Normen, Einrichtungen und Maßnahmen zum Schutz der freiheitlich demokratischen Grundordnung, des Bestandes und der Sicherheit der BR Deutschland. "
Ist der Muskelkater wirklich nach zwei Tagen am schlimmsten? ;Ja, es stimmt! Die Ursache ist, dass es sich um einen Heilungsprozess von Entzündungserscheinungen innerhalb des Muskels handelt. Aus der Muskelfaser treten Stoffe aus, die unsere Schmerznerven reizen. Und das merken wir verzögerter. 
Ist es richtig, dass Asiaten ein bestimmtes Enzym fehlt, das wichtig für den vollständigen Abbau von Alkohol zu CO2 ist?;Stimmt! Etwas der Hälfte aller Asiaten fehlt das Enzym Alkoholdehydrogenase, das für den vollständigen Abbau von Alkohol zuständig ist. Nach Alkoholgenuss häuft sich deshalb das giftige Zwischenprodukt Acetaldehyd an, das u.a. zu Kopfschmerzen und Übelkeit führt.  Chemische Reaktionen des Alkoholstoffwechselproduktes Acetaldehyd mit körpereigenen Neurotransmittern, wie Dopamin, Serotonin und Adrenalin sollen opiumähnliche Substanzen ergeben. In ihrem chemischen Aufbau ähneln sie stark den betäubenden oder berauschenden Alkaloiden bestimmter Pflanzen, wie Mohn, Kaffee und Chinarinde.  Die restlichen 50% der Asiaten haben ein anderes Problem: sie verfügen über eine Form der Alkoholdehydrogenase, die bei weitem nicht so leistungsfähig ist wie beispielsweise die eines bayrischen Gewohnheitstrinkers. Daher sind Japaner auf dem Oktoberfest auch immer als erste betrunken.
Ist in Schokolade wirklich Blut? ;Nein, es stimmt nicht. In keinem Schokoladenprodukt ist Tierblut enthalten. Es gibt Schokoladenrichtlinien und Kakaoverordnungen, die genau gesetzlich regeln, was in Schokolade sein darf. Dazu gehören Kakaomasse, Kakaobutter und viele andere Zutaten - wie Milch, Sahne, Nüsse, Früchte oder auch Joghurt. 
Ist Null eine Ziffer? ;"Ja, eine Ziffer ist ein Zeichen zur schriftlichen Darstellung einer Zahl; die heute allgemein üblichen Ziffern sind die zehn arabischen Ziffern des Dezimalsystems (1, 2, 3, ..., 9, 0)."
Ist Proxima Centauri nicht nur der erdnächste Fixstern, sondern einfach der erdnächste Stern? ;"Stern und Fixstern sind eigentlich dasselbe. Früher hat man nur die Planeten, die sich ja auf einer Bahn bewegen ""Wandelsterne"" genannt und im Gegensatz dazu die unbeweglichen Himmelskörper als ""Fixsterne"" bezeichnet. Da Planeten ja keine Sterne sind ist die Bezeichnung Fixstern eigentlich hinfällig geworden."
Jeder redet von Murphy's Law wenn irgendwas schief läuft... oder wenn das Blatt das man sucht, das letzte im Stapel ist..aber wer zur Hölle ist Murphy ?;"Murphy's Law sagt: ""Alles was schiefgehen kann, wird auch schiefgehen."" Edward A. Murphy war Ingenieur und arbeitete an Beschleunigungsexperimenten für die US Air Force (1946). Bei einem der Testläufe wurde ein Proband (Major John Paul Stapp) ernsthaft verletzt und es stellte sich heraus, dass alle 16 Sensoren, die eben dies verhindern sollten systematisch verkehrt herum eingebaut waren. Murphy sagte darauf ""If there are two or more ways to do something, and one of those ways can result in a catastrophe, then someone will do it."" Die noch immer leicht angeschlagene Testperson zitierte ihn einige Tage später in einer Pressekonferenz. "
Kein Ei übersteht einen Fall aus größerer Höhe;Falsch. Zwei Amerikaner haben einen Höhenrekord im Eier-Fallen aufgestellt. Aus einem Hubschrauber in 182,88 Meter Höhe ließen sie frische rohe Eier fallen, die ohne zu zerbrechen auf dem Boden aufschlugen.
Kein Mensch kann bis zwei Milliarden zählen;Richtig. Dazu würde ein Lebensalter nicht ausreichen. Das kann man leicht an einem Beispiel verdeutlichen. Würde ein Mensch von der Sekunde seiner Geburt an mit dem Zählen beginnen und mit der letzten Sekunde seines fünfzigsten Lebensjahres aufhören, so hätte er die Zahl 1.576.800.000 erreicht, vorausgesetzt, er benötigt für jede Zahl nur eine Sekunde und man rechnet das Jahr zu 365 Tagen. Allerdings ist es unmöglich, längere Zahlen innerhalb einer Sekunde auszusprechen, bei den Ziffern über eine Milliarde braucht man sogar mindestens fünf Sekunden.
Kolumbus war gar nicht der erste Mensch aus der alten Welt, der das Festland von Nordamerika betrat? ;JA - DAS STIMMT!  Aller Wahrscheinlichkeit nach erreichten Admiral Didrik Pining aus Hildesheim und der Portugiese Joao Vas Corte Real Nordamerika auf der Route von Grönland nach Cape Mugford bereits in den 70er Jahren des 15ten Jahrhunderts. Vorher sollen sogar schon Wikinger erfolgreich die Fahrt in die neue Welt angetreten haben.
Können Augen vor Freude glänzen? ;Ja, es stimmt! Wenn wir glücklich sind, sorgt unser vegetatives Nervensystem dafür, dass vermehrt Tränenflüssigkeit gebildet und das Lid gespannt wird. Dadurch wird das Auge feuchter und größer. Die Folge: es glänzt mehr. 
Können Hunde lachen? ;Ja, es stimmt! Hunde zeigen ein dem menschlichen Lachen ähnliches Gesicht. Die Mundwinkel werden nach hinten gezogen, die Zähne werden gezeigt und die Ohren sind leicht nach hinten gedreht. Das erinnert sehr stark an ein menschliches Lachen. 
Können Pferde kotzen? ;Nein, es stimmt nicht. Nur wenn sich der Schließmuskel des Magens lösen sollte, also in Fall einer Lähmung, könnte der Speisebrei zurück in die Mundhöhle gelangen. 
Können sich Schlangen zur Musik bewegen? ;Nein, es stimmt nicht! Schlangen haben keine Gehörorgane, sie richten sich nach der Bewegung der Flöte. 
Leben Eintagsfliegen nur einen Tag lang? ;Nein, es stimmt nicht! Sie leben als Larve bis zu drei Jahre unter Wasser, dann schlüpfen sie und werden als geflügeltes Insekt von ein paar Stunden bis maximal eine Woche alt. 
Macht Karottensaft gelbe Haut?;Ja, das Beta-Karotin aus der Rübe wird in die oberen Schichten der Haut eingelagert, besonders da, wo abgestorbene Hautschichten dicker übereinander liegen (Schwielen etc.) ist dieser Effekt sichtbar. Nach etwa einem Monat verschwindet dieser Effekt wieder (wenn der Möhrenkonsum eingestellt wird). Beta-Karotin ist ja auch in Bräunungsmitteln enthalten. 
Macht Labello süchtig? ;Nein, es stimmt nicht. Es entsteht keine körperliche Abhängigkeit von Fettstiften. Menschen, die nicht ohne sie aus dem Haus gehen, fürchten ausgetrocknete Lippen zu Unrecht. 
Man erzählt ja immer, dass der Storch die Babys bringt, woher stammt eigentlich dieser Mythos?;Die alten Skandinavier scheinen dafür verantwortlich zu sein. Ihre Storchbeobachtungen zeigten, dass Störche monogam leben, lieb zu ihren Angehörigen sind und ihre Nester auf Schornsteinen bauen. Das passt ja alles ziemlich gut. Außerdem sind die großen Zugvögel ca. neun Monate auf Südtour. Weltweite Anerkennung erreichte diese Theorie allerdings erst im neunzehnten Jahrhundert durch die Märchen von Hans Christian Andersen.
Man kann eine Flasche Bier in der Sonne kühlen;Richtig. Man wickelt die Flasche in ein nasses Tuch und hängt sie in die heiße Sonne. Dabei verdunstet die Feuchtigkeit im Tuch. Da bei jedem Verdunstungsvorgang Kälte entsteht, kühlt sich die Flasche ab. Wunderwirkungen darf man dabei allerdings nicht erwarten.
Meine Kollegin meint, als Zeichen des deutschen Handels säße auf dem 50-pf-Stück eine Dame, die eine Tabakspflanze in die Erde steckt. Stimmt's?;"Nach Konsultation meiner drei Kollegen (alles Biologen) erhielt ich übereinstimmend die Antwort: ""Eiche!"". Auf jeder Pfennig-Münze ist ja dieser urdeutsche Baum abgebildet, da macht der ""Fuffziger"" keine Ausnahme. "
Mit welchem alltäglichen Gegenstand kann man ein Flugzeug schrottreif machen?;Flugzeuge bestehen zu einem Großteil aus Aluminium. Wenn jemand ein Fieberthermometer ausschüttet bildet das Quecksilber mit dem Aluminium ein Amalgam, das sich ähnlich we Holzfäule ausbreitet und das Aluminium zerstört.
Mit welchem Grund besuchte man Anfang der 20er Jahre in Hamburg immer wieder die „Eiserne Jungfrau“?;Es war die erste Benzinzapfsäule Deutschlands.
Nach der Entwicklung des Menschen zum Homo Sapiens gab es da noch einen, oder sogar mehrer Evolutionsschritte bei der Gattung Mensch. Die nur vielleicht nicht so groß waren. Wenn nicht wäre es nicht Wahrscheinlich das bald ein Evolutionsschritt;Die Manifestation eines echten Evolutionssprunges ist nämlich nicht so ganz zwingend geklärt. Grundsätzlich gilt: Evolution = Mutation + Selektion. Wenn durch diese Mechanismen aus einer Art zwei werden hat man einen Evolutionssprung. Beispiel: In einem Gewässer gibt es eine Population Fische. Durch seismische Aktivitäten wird das Gewässer in zwei Einzelgewässer geteilt, in denen jeweils etwas andere Umweltbedingungen herrschen. über mehrere Generationen hinweg werden sich die Populationen an die veränderten Bedingungen anpassen. das könnte so weit gehen, dass sie nicht mehr fruchtbar untereinander kreuzbar sind (d.h. zwei verschiedene Arten). Allerdings ist der Artbegriff heute umstritten.  Der Mensch hat durch seine Intelligenz aber andere Möglichkeiten, auf veränderte Umweltbedingungen zu reagieren. Seite der Entstehung des Homo Sapiens hat man keinen weiteren Evolutionssprung mehr registriert, es wäre auch extrem unwahrscheinlich, da Mutation + Selektion in der menschlichen Gesellschaft keine relevanten Faktoren mehr sind (dank Brille, Zahnarzt und Prothesen).  Ein Evolutionssprung ist sowieso eine Aneinanderreihung winziger Einzelschritte über viele Generationen hinweg.
Nach welchem italienischen Mathematiker ist die Zahlenreihe, die mit 1,1,2,3,5,8,13 usw. beginnt und wo jede folgende Zahl die Summe der beiden vorausgegangenen ist, benannt?;Leonardo Fibonacci da Pisa. Ursprünglich beobachtete Fibonacci, der nebenbei im 13. Jahrhundert das Dezimalsystem in Europa einführte, das Wachstum einer Kaninchenpopulation und gelangte so zu seiner Zahlenreihe. Ausgangspukt des Versuches ist ein Hasenpaar. Fibonacci ging der Frage nach, wie sich die Zahl der Hasenpaare im Laufe der Monate entwickelt, wenn jedes Paar pro Monat ein weiteres Paar zeugt, die Zeugungsfähigkeit ab dem zweiten Monat gegeben ist und sich keine Todesfälle ereignen. Die Auflösung dieses Problems ergab die Fibonacci-Zahlenfolge: 1, 1, 2, 3, 5, 8, 13, 21, 34, 55, 89, 144...
Nach wie vielen Jahren wurde 1967 die Klagemauer wieder jüdisch?;"Eigentlich war sie ja immer jüdisch, als Teil des 70 n. Chr zerstörten Jerusalemer Tempels war die Klagemauer immer ein jüdisches Heiligtum. Nur stand sie lange Zeit nicht unter jüdischer Verwaltung. Mit der Zerstörung des jüdischen Staates um 70 n. Chr. begann die Disapora des jüdischen Volkes, das sich im ganzen Mittelmeerraum verbreitete. Erste Einwanderungswellen gab es schon ab 1886. Die ernsthafte Bestrebung zur Schaffung einer sichern jüdischen Heimstätte in Palästina besteht seit Theodor Herzl 1896 sein Buch ""Der Judenstaat"" veröffentlichte. Nach dem zweiten Weltkrieg kehrten viele überlebende Juden ins Gelobte Land ""zurück"". Am 14. Mai 1948 wurde, nach dem Ende des britischen Palästinamandates, der Saat Israel ausgerufen. Aber erst nach dem Sechs-Tage-Krieg 1967 kam Ost-Jerusalem und damit auch der Tempelberg wieder unter jüdische Administration. Also kann man von einer 1897-jährigen ""nicht jüdischen Verwaltung der Klagemauer"" reden. "
Polnisch ist ja wie russisch eine slawische Sprache, doch benutzt polnisch die lateinische, die russische hingegen die kyrillische Schrifte. Wie kam es dazu? ;Kyrillische Schrift: [russ., nach dem Slawenapostel Kyrillos], ist eine nach dem Vorbild der griechischen Majuskel unter Berücksichtigung slawischen phonologischen Besonderheiten geschaffene Schrift, die im Laufe des 10. Jh. die ältere Glagoliza ([slaw.], die älteste von Kyrillos vor 862 geschaffene kirchenslawische Schrift.) verdrängte und zur alleinigen Schrift der griechisch-orthodoxen. Slawen wurde.  Durch die Schriftreform von 1918 wurde die russ. Kyrilliza vereinfacht. Auf der Grundlage der k. S. wurden auch die Alphabete der ursprünglich schriftlosen nichtslawischen Sprachen der UdSSR geschaffen.  Polen sind ja keine orthodoxen Christen, daher benutzen sie unsere lateinische Schrift.
Regt Bier die Milchproduktion an? ;Ja, alkoholfreies Bier lässt bei stillenden Mütter tatsächlich die Milch besser fließen. Es enthält zwar auch eine geringe Menge Alkohol, doch die ist laut Frauenärzten zu vernachlässigen!  
Regt Sekt den Kreislauf an? ;Ja, es stimmt. Die Kohlensäure im Sekt fördert die Durchblutung des Gehirns. Dadurch kann allerdings auch der Alkohol schneller wirken.  
Schließt Käse den Magen? ;Ja, es stimmt! Denn Käse enthält viel Milchfett, welches dazu führt, dass sich der Magenausgang verengt und die Magenentleerung verzögert wird. 
Seit wann gibt es das Frauenwahlrecht in Deutschland? Und in Frankreich, England, den USA?;Jahre der Einführung des Wahlrechtes für die halbe Bevölkerung eines Landes, nämlich für die Frauen:  1869 Wyoming  1902 Australien  1906 Finnland  1913 Norwegen  1915 Dänemark, Island  1917 Kanada, Niederlande, Sowjetunion  1918 Deutschland, England, Irland, Luxemburg, USA  1919 Österreich, Polen, Schweden, Tschechoslowakei  1924 Mongolei  1929 Ecuador  1931 Ceylon, Spanien  1932 Brasilien, Thailand, Uruguay  1934 Kuba, Türkei  1935 Indien  1937 Philippinen 1942 Dominikanische Republik  1944 Frankreich  1945 Italien, Liberia  1946 Albanien, Japan, Jugoslawien, Panama, Rumänien, Südafrika  1947 Argentinien, Bulgarien, Burma, China, Venezuela  1948 Belgien, Israel, Korea 1949 Chile, Costa Rica, Ungarn  1952 Griechenland  1971 Schweiz  1990 Halbkanton Appenzell- Innerrhoden in der Schweiz  1999 Kuwait (Mitte Mai beschlossen)
