 Was ist der so genannte „Hawaii-Typ“?;Ein Vulkantyp (auch Schildvulkan genannt) der besonders für Vulkane auf Hawaii typisch ist.;
"In welchem Bereich machte ""Luise die Wildsau"" Karriere?";"War Spürwildschwein für Drogen bei einer Hundestaffel. Ihr angeborenes Talent als ""Trüffelschwein"" hat Louise auf diese Weise in den Dienst der Öffentlichkeit gestellt. Sie war bei der Polizei (in Lüneburg, wenn ich mich recht erinnere) einer Hundestaffel angegliedert, weil man wohl verhindern wollte, dass sie dem Polizeipräsidenten direkt unterstellt würde. Louise wurde übrigens im Sendebereich der ARD berühmt, als sie eine tragende Rolle in dem 200sten Tatort übernahm, und zwar an der Seite von Kommissarin Inge Meysel.";
In welchen Ehrenkreis wurden George Washington und Abraham Lincoln 1992 aufgenommen?;In die Ruhmeshalle der amerikanischen Wrestling Vereinigung.;
Kaltauszug – was ist das?;Es gibt Kräuter (z.B. Leinsamen) die nur mit kaltem Wasser übergossen werden sollen, damit deren Wirkstoffe nicht zerstört werden. Dieses kalte Wasser zieht die Inhaltsstoffe aus dem Wasser raus, deshalb – Kaltauszug;
Lichtgeschmack – was ist das?;Manche Lebensmittel reagieren auf Lichteinfall (Sonnenlicht oder auch Kunstlicht) mit einer Geschmacksveränderung. Vor allem Milch und Bier (deshalb werden getönte Flaschen verwendet).;
Mit welchem alltäglichen Gegenstand kann man ein Flugzeug schrottreif machen?;Flugzeuge bestehen zu einem Großteil aus Aluminium. Wenn jemand ein Fieberthermometer ausschüttet bildet das Quecksilber mit dem Aluminium ein Amalgam, das sich ähnlich we Holzfäuleausbreitet und das Aluminium zerstört.;
Mit welchem außergewöhnlichen Zahlungsmittel wurden im 14. Jahrhundert Pachtzinsen gezahlt?;Im Mittelalter wurde vor Ostern mit Eiern bezahlt. Denn in der Fastenzeit waren Eier verboten zu essen. Es gab sie also im Überschuss. Um sie haltbarer zu machen wurden sie gekocht. Um sie von rohen Eiern unterscheiden zu können, wurden sie eingefärbt. Das wird als eine Erklärung gesehen, warum heute zu Ostern Eier gefärbt werden.;
Mit welchem genialen Trick schützt der australische Rosakakadu sein Gelege vor Schlangen und Waranen?;Das Gelege ist in einem Baumstamm und damit die Schlangen bzw. Warane nicht hinaufklettern können, schält er zusätzlich die Rinde unterhalb des Geleges ab und poliert die Stelle mit seinen Federn glatt.;
Mit welchem genialen Trick schützt die Kanincheneule ihre Jungen vor Feinden?;Die Kanincheneule lebt am Boden und die größte Gefahr für die Jungen sind Wiesel. Diese vertreibt die Kanincheneule, indem sie mit dem Schnabel Klapperschlangengeräusche nachmacht, die das Wiesel verschrecken.;
Mit welchem Grund besuchte man Anfang der 20er Jahre in Hamburg immer wieder die „Eiserne Jungfrau“?;Es war die erste Benzinzapfsäule Deutschlands.;
Mit welchem Hilfsmittel wollte der amerikanische Arzt George Taylor 1869 die „weibliche Hysterie“ heilen?;Er erfand den ersten Vibrator. Die „Maschine“ wurde anfangs nur in Arztpraxen & Kliniken verwendet. Man verstand darunter „die Auflehnung des Unterleibs gegen sexuelle Unterversorgung“;
Mit welchem Marketing-Trick hat die Firma „Camelia“ in den 50er-Jahren Käuferinnen für Damenbinden geködert?;In jeder Packung war ein Zettel mit der Aufschrift: „Bitte geben sie mir eine diskret verpackte Cameliaschachtel“, den man in Damenbekleidungsgeschäften (damals konnte man nur dort Binden erhalten) vorzeigen konnte, ohne danach fragen zu müssen.;
Mit welchem nicht ganz legalen Trick gelang es einem Mann aus Rostock, jahrelang Steuern zu sparen?;Er gab seinen zotteligen Hund als Schaf aus und sparte die Hundesteuer.;
Mit welchem sportlichen Wettbewerb wurde am 26.März 1916 das Berliner Olympiastadion eröffnet?;Mit einem Handgranatenweitwerfen! Ursprünglich sollten 1916 in Berlin die olympischen Sommerspiele stattfinden, für die das Stadion auch gebaut worden war. Weil aber der 1. Weltkrieg dazwischen kam, organisierte das Kriegsministerium kurzerhand selbst ein paar Wettkämpfe – darunter das Handgranatenweitwerfen.;
Mit welchem Trick erschreckt die Hakennasentrugnatter ihre Feinde so sehr, dass sie schnell das Weite suchen?;Sie saugt über ihren Hinterausgang sehr viel Luft an und lässt dann mit lautem Knall einen fahren (ca. 70 dB – so laut wie ein Staubsauger);
Mit welchem Trick geht man in der italienischen Stadt Portogruaro gegen Männer vor, die einfach in Häuserecken pinkeln?;In den Häuserecken ist ein Stein so angebracht, dass in jedem Winkel wieder alles zurückspritzt.;
Mit welchem Trick schafft es die Wasserspinne fast ihr ganzes Leben unter Wasser verbringen zu können?;Sie baut sich eine Taucherglocke aus Wasserpflanzen und Spinnweben. Durch ruckartiges Eintauchen bleiben an ihren Beinen Luftbläschen hängen, die sie in die Taucherglocke bringt. Wenn dann in ihrer Behausung genügend Luft ist, webt sie Signalfäden von der Taucherglocke zu anderen Wasserpflanzen. Wenn dort ein Tier hängen bleibt, kommt die Spinne aus ihrer Taucherglocke - holt ihre Beute und bringt diese zurück in die Taucherglocke.;
Mit welchem Trick schafft es ein tropischer Fisch stundenlang an Land nach Insekten zu jagen?;Er verfügt über kleine Beutel im Maul. Diese füllt er mit Wasser, womit er seine Kiemen feucht hält und somit die Kiemenatmung weiter funktioniert.;
Mit welchem Trick schützen Japans Handyhersteller Mädchen und Frauen davor, heimlich fotografiert zu werden?;Fast alle Handys, die in Japan auf den Markt kommen (also auch von anderen Herstellern) sind so programmiert, dass sich das Auslösegeräusch der eingebauten Kamera nicht auf stumm schalten lässt. Dadurch kann niemand mehr heimlich fotografiert werden.;
Mit welchem Trick schützt die Kap-Beutelmeise ihr Nest vor räuberischen Schlangen?;Sie verschließt den Eingang zum Nest und legt einen zweiten an, der nicht zu den Eiern hinführt.;
Mit welchem Trick schützt die Stadt Neapel neuerdings ihre Touristen vor dreisten Uhrendieben?;Beim Einchecken ins Hotel werden die Touristen gefragt, ob sie ihre Uhr anbehalten wollen. Wenn nicht, kommt die Uhr in den Safe und die Touristen bekommen leihweise eine billige Plastikuhr, Wert 10 €. Diese Uhr klaut natürlich keiner. Verlässt man das Hotel, bekommt man seine Uhr wieder aus dem Safe zurück.;
Mit welchem Trick versucht man in Kanada, Männer dazu zu bringen, nach dem Pinkeln die Hände zu waschen?;An der Innenseite der Toilettentür ist ein lebensgroßes Plakat von einem Mann, wobei der Türgriff durch den Hosenschlitz geht. Beim Griff zum Türgriff sollen die Männer daran erinnert werden, sich die Hände zu waschen.;
Mit welcher genialen Strategie bekämpft die Ulme den Ulmenblattkäfer?;(Ulme ist ein Baum- der Schädling Ulmenblattkäfer zerlöchert die Blätter der Ulme);
Mit welcher Geste stellen Gebärdendolmetscher Angela Merkel dar?;(sieht man fast jeden Abend bei Phoenix, da dort die Nachrichten in Gebärdensprache übersetzt werden) Die Gebärdendolmetscher stellen Angela Merkel mit beiden Händen dar. Die flachen Hände werden zuerst senkrecht nach oben seitlich des Gesichts mit den Handflächen zueinander gestellt und dann werden die flachen Hände mit dem Handrücken nach oben in Höhe des Kinns gestellt. So stellt man Angela Merkel dar. Z. B. Guido Westerwelle wäre, wenn eine Hand nach Westen zeigt und dann mit der Hand eine Welle geformt wird. Stoiber wäre dann, wie wenn man mit der Hand Sand auf den Tisch fallen lässt. Also der Sand zerstäubt wird. Stäuben = Stoiber.;
Nach wem oder was wurde der Bundesligist Hertha BSC benannt?;Nach einem Berliner Dampfer, mit dem der Gründer kurz zuvor gefahren war.;
Noch bis vor 60 Jahren stand in vielen Apotheken ein Aquarium. Warum?;Um Schwangerschaftstests durchführen zu können! Frauen, die wissen wollten, ob sie schwanger waren, brachten dem Apotheker eine Urinprobe. Diese wurde einem weiblichen Exemplar des glatten Krallenfroschs injiziert. War die Frau schwanger, reagierte der Frosch aufgrund der im Urin enthaltenen Hormone, indem er innerhalb von zwei Tagen seine Eier ablegte. Daher wird der Xenopus laevis, der glatte Krallenfrosch auch „Apothekerfrosch“ genannt.;
Obwohl das Stadion werbefrei ist, kennt in Australien jeder den Sponsor von „Megas Alexandros“. Warum?;Der Sponsor ist das einzige 6-Sterne Bordell, das in Australien jeder kennt. Aus Rücksicht auf Kinder und Jugendliche wird auf Banden- und Trikotwerbung verzichtet.;
Schwanzfütterung – was ist das?;Früher war diese Methode in vielen Kuhstellen üblich, heute nur mehr in den Alpen: Die Kühe sind an den Wänden des Stalls festgebunden. Sie stehen mit den Köpfen gegen die Wand und ihre Hinterteile ragen in die Mitte des Stalls. So kann der Stall bequem ausgemistet werden. Zur Fütterung allerdings muss man am Schwanz der Tiere vorbei um die Tiere herum, deshalb spricht man von der Schwanzfütterung.;
Stirnpressen – was ist das? ;Beim Hantelstemmen legt man sich auf den Rücken, hebt mit beiden Händen die Hanteln nach oben und landet wieder auf dem Brustkorb beim Herablassen. Wenn man nun den Trizeps trainieren will, presst man die Hanteln nach oben und landet auf der Stirn. Das ist das Stirnpressen.;
Über welche ungewöhnliche Frage stimmte der US Kongress im Jahr 2011 unter anderem ab?;Ob die Tomatensauce auf Pizza gesundes Gemüse ist.;
Unter welcher Bedingung hat Porsche die neue Orgel in der Leipziger Nikolaikirche mit 1,8 Mio. Euro gesponsert?;Der Einschaltknopf der Orgel musste von rechts nach links verlegt werden, da in einem Porsche das Zündschloss links ist.;
Warum ändert sich fast jedes Jahr die Telefonnummer von Real Madrid?;Die Telefonnummer lautet 2004: 902291709 und setzt sich folgendermaßen zusammen: 902…bleibt immer gleich / 29…steht für die Anzahl der gewonnenen spanischen Meistertitel / 17…steht für die Anzahl der spanischen Pokalsiege / 09…steht für die Anzahl der Europapokalsiege → ändert sich fast jedes Jahr;
Warum balanciert der Mississippi-Alligator Stöckchen auf seiner Schnauze?;Wenn die Alligatoren schwimmende Stöcke finden, tauchen sie unter und bringen sie auf ihrer Schnauze in die richtige Position. Denn Nistmaterial ist in Vogelkolonien oft knapp, und so locken sie damit Schreitvögel wie Reiher an, die auf der Suche nach kleinen Stöcken sind. So liegen Mississippi-Alligatoren stundenlang im Wasser und balancieren kleine Zweige auf ihren Schnauzen. Nichts passiert - bis sich ein Vogel nähert und mit dem Schnabel nach dem Stöckchen greift. Das Krokodil schießt hoch - und um den Reiher ist es geschehen.;
Warum bat der Komponist Eduard Künneke 1919 in der Bar des Hotels „Adlon“ aufgeregt um eine Schere?;Während der Fahrt fielen ihm ein paar Melodien für seine Operette „Der Vetter aus Dingsda“ ein, an der er gerade arbeitete. Da er kein Papier bei sich hatte, schrieb er die Noten auf seinen Hemdärmel. Diesen wollte er dann abschneiden und spielte nicht von Blatt, sondern vom Ärmel.;
Warum bauen Biber Dämme?;Biber bauen Dämme, damit der Eingang ihrer Höhle stets unter Wasser ist. So kommen keine anderen Tiere in die Höhle und können die Nahrungsvorräte des Bibers nicht klauen.;
Warum baut das Thermometerhuhn das Nest für seine Eier schon einige Monate vor der Eiablage?;Das Thermometerhuhn brütet seine Eier nicht selbst aus sondern baut praktisch einen Brutkasten. Dazu beginnt es Monate vor der Eiablage damit Löcher zu graben die es mit Pflanzenresten füllt und mit Sand zuschüttet. Nach einigen Wochen beginnen die Pflanzenreste zu verfaulen und so entsteht Wärme. Wenn die Henne die Eier dann legt hat der „Brutkasten“ bereits die richtige Temperatur. Das Männchen kontrolliert übrigens mit seinem Schnabel regelmäßig die Temperatur im Brutkasten, deshalb heißt dieses Tier „Thermometerhuhn“.;
Warum baut man in Bali hinter Türen sehr oft eine Mauer?;(wenn man die Tür aufmacht, steht man gleich vor einer Mauer, sodass man um die Mauer herumlaufen muss, findet man in Bali bei Haustüren und auch bei Toren von Grundstückseinfahrten) Die Hindus in Bali glauben, dass böse Geister nicht scharf um die Ecke abbiegen können. Daher ist meiste eine Mauer hinter der Tür, da die bösen Geister dann gegen die Mauer knallen, weil sie nicht abbiegen können.;
Warum baute sich ein Ehepaar in Leicester (England) eine Garagentor-Attrappe vor einen Teil seines Hauses?;Um die Garage weiterhin als Wohnung nutzen zu können.;
Warum bedienen die Mitarbeiter eines Berliner Geschäfts einige Kunden nur mit Handschuhen?;Wenn jemand dort Spraydosen kauft, fassen die Mitarbeiter diese mit Handschuhen an, damit ihre Fingerabdrücke nicht darauf sind, wenn die Dosen nach illegalen Sprühaktionen zurückgelassen werden.;
Warum befinden sich auf den Walzen der meisten „einarmigen Banditen“ Fruchtsymbole?;1899 ließ die amerikanische Regierung Glückspiele verbieten- die Hersteller suchten nach einer Lücke im Gesetz: Die Leute spielten nicht mehr um Geld sondern um Kaugummikugeln (Abbildung war der Geschmack)- später lies sich der Hersteller die Walzen patentieren.;
Warum befinden sich seit 2005 auf dem Friedhof Münnerstadt 30 Gräber, an denen nie jemand trauert?;In Münnerstadt befindet sich die einzige Ausbildungsstätte für Bestatter in Deutschland. Der Lehrfriedhof (mit diesen 30 Gräbern) ist Bestandteil des normalen Friedhofes. Die Grabsteine dieser 30 Gräber haben keine Inschrift. Auf dem Lehrfriedhof wird unter anderem das Ausheben von Gräbern gelernt.;
Warum befindet sich auf dem Berliner Invalidenfriedhof mitten auf dem Hauptweg eine Grabstätte?;Der Kommandant des Invalidenhauses (Gustav Friedrich von Kessel) war so unbeliebt, dass alle einen großen Bogen um ihn machten. Deshalb verfügte er, dass die Leute auch nach seinem Tod noch einen Bogen um ihn machen müssen, und wurde mitten auf dem Hauptweg beerdigt.;
Warum befindet sich bei einem Porsche das Zündschloss links vom Lenkrad?;Das ist ein Stück Porsche-Tradition, eine geniale Idee der Rennsport-Ingenieure: Bei den ersten Autorennen in Le Mans mussten die Fahrer nach dem Startschuss noch einen kleinen Sprint hinlegen, nämlich erst mal zu den geparkten Autos rennen. Im Gegensatz zu allen anderen Fahrern konnten die Porsche-Piloten, eben weil sich bei ihnen das Zündschloss links befand, mit der linken Hand den Wagen starten und mit der rechten bereits den Gang einlegen. Und gewannen damit entscheidende Sekunden zum Sieg.;
"Warum befindet sich die 57 auf den Glasflaschen von ""Heinz Ketchup"" nicht mittig, sondern rechts über dem Etikett?";Das Klopfen auf diesen Punkt lässt den Ketchup leichter fließen.;
Warum beförderte die Lufthansa 1974 hunderttausende von Passagieren zum Nulltarif?;Damals gab es einen verfrühten Wintereinbruch, der die Zugvögel überraschte. Daraufhin brachte die Lufthansa hunderttausende von ihnen in den Süden. ;
Warum begann die Trauerfeier für Liz Taylor eine Viertelstunde zu spät?;Liz Taylor ist zu ihren Lebzeiten zu Dreharbeiten immer zu spät gekommen. Sie hat angeordnet, dass auch ihre Beerdigung mit einer Viertelstunde Verspätung beginnen solle. Außerdem hat sie veranlasst, dass an ihrer Beerdigung jemand ruft: „Sie wollte sogar zu ihrer eigenen Beerdigung zu spät kommen.“;
Warum begann Hany Ramzy auf Zuruf seines Trainers Otto Rehhagel mitten im Spiel plötzlich zu humpeln?;In Fußballteams durften nur max. drei Ausländer mitspielen. Im Jahre 1989 waren ein einem Spiel aber vier ausländische Spieler. Daraufhin rief Otto Rehhagel Hany Ramzy zu, er solle humpeln, damit er aus diesem Spiel kann und nur noch drei Ausländer im Team sind, sonst wäre das Spiel ungültig.;
Warum begattet das Kratzer-Männchen nicht nur Weibchen, sondern auch andere Männchen?;Dieser Wurm verklebt nach der Begattung eines Weibchens mit seinem Befruchtungssaft die Geschlechtsteile anderer Männchen und macht sie so für bis zu zwei Wochen unfruchtbar, so dass sie das Weibchen nicht begatten können.;
Warum begeht der Papierboot-Krake kurz nach seinem ersten Sichtkontakt mit einem Weibchen Selbstmord?;Nachdem er ein Weibchen entdeckt hat pumpt er Sperma in einen seiner Arme- bricht diesen ab und stirbt dadurch. Das Sperma im Arm befruchtet dann erst die Eier im Körper des Weibchens.;
Warum beginnen in amerikanischen Spielfilmen Telefonnummern immer mit 555?;Ist Ergebnis einer Klage von US-Bürgern in den 60er-Jahren. Die Kläger fühlten sich von Kinobesuchern belästigt, die ihre Telefonnummern wählten, weil sie diese in irgendeinem Film gesehen hatten. Diese Leute glaubten offenbar, am anderen Ende würde sich James Bond oder sonst jemand Prominentes melden. Seitdem beginnen Telefonnummern in US-Filmen immer mit 555, weil die real nicht vergeben sind.;
Warum beißt die Weberameise lebenden Ameisenlarven ständig in den Hintern?;Aus dem Hintern der Larven kommt Klebstoff. Damit baut die Ameise ihre Nester in Bäumen Mithilfe von Blättern.;
Warum beißt sich eine südafrikanische Echsenart in bestimmten Situationen selbst in den Schwanz?;Um sich vor Raubvögeln zu schützen: Damit sie ihr schuppiger Panzer überall schützt, beißt sie sich in Gefahrensituationen in den Schwanz.;
Warum bekam auf Betreiben des VW-Konzerns eine Straße zur Eröffnung eines Kindergartens einen zweiten Namen?;"Es handelt sich um den VW Betriebs-Kindergarten in Braunschweig, der in der Maybachstraße eröffnet werden sollte. Das ist bekanntlich ein Mercedes-Produkt. Daher hat VW verlangt, dass man die Straße in dem Teil, in dem der Kindergarten liegt, entsprechend umbenennt. Jetzt heißt die Straße dort ""Käferweg"". Der zweite Name gilt also in einem anderen Teil der Straße als der erste Name.";
"Warum bekam das Fahrzeug des Restaurants ""Zur Tillyschanze"" bei Hann. Münden eine Adresse mit eigener Postleitzahl?";Für den Fahrzeugschein, da das Restaurant selbst jahrelang keine Adresse hatte.;
Warum bekam der Hund von Robert Lembke nach einer Folge von „Was bin ich?“ Waschkörbe voller Fanpost?;Er biss den damaligen Finanzminister Fritz Schäffer.;
Warum bekam Goethe 1793 wegen eines Geburtstagsgeschenks für seinen Sohn August Stress mit seiner Mutter?;Goethe wollte, dass sie für seinen Sohn eine Miniguillotine kauft, die zur Zeit der französischen Revolution bei den Jugendlichen hipp war.;
Warum bekamen 27000 Menschen in der Schweiz ein Päckchen Taschentücher per Einschreiben geschickt?;Neben den Taschentüchern waren in dem eingeschriebenen Päckchen Atemschutzmasken, Desinfektions- und Schmerzmittel und ein Fieberthermometer. Diese 27000 Menschen sind Mitarbeiter einer Schweizer Bank, die mit diesen Päckchen ihre Mitarbeiter auf einen eventuellen Ausbruch einer Grippeepidemie vorbereiten wollten.;
Warum bekommen Bergwanderer auf dem höchsten Gipfel Polens kostenlos Tee mit Rum ausgeschenkt?;Dieser Tee wird in einer Berghütte ausgeschenkt, die auf diesem Berg steht, zu der es aber keinen Strom oder Transportverbindung gibt. Deshalb müssen Lebensmittel und Propanflaschen zu Fuß hochgebracht werden. Jeder Bergwanderer, der Lebensmittel zur Hütte bringt bekommt kostenlosen Tee und jeder der eine Propanflasche hochbringt bekommt kostenlosen Tee mit Rum.;
